M+S^E_3 with selection size 0.05 comparison in terms of gap closed - nb of sdp cuts added at cut rounds - nb of sdp cuts added based on the optimality measure between selection strategiescomb - feas
,,,,gap_closed_at_round_,_,_,_,_,_,_,_,nb_sdp_cuts_at_round_,_,_,_,_,_,_,_,nb_opt_cuts_at_round_,_,_,_,_,_,_,_
filename,size,density,nb_constraints,r1_feas,r1_comb,r2_feas,r2_comb,r3_feas,r3_comb,r4_feas,r4_comb,r1_feas,r1_comb,r2_feas,r2_comb,r3_feas,r3_comb,r4_feas,r4_comb,r1_feas,r1_comb,r2_feas,r2_comb,r3_feas,r3_comb,r4_feas,r4_comb
q_20_0_75_1,20,75,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
q_20_0_75_2,20,75,0,0.4509107112853333,0.49066745207226126,0.6831918287305213,0.6530223162536264,0.8126020501201708,0.7203050685421374,0.9054791462959704,0.8135679204852773,7,7,7,7,7,7,7,7,0,7,0,7,0,7,0,7
q_20_0_75_3,20,75,0,0.737532285524868,0.8934146105842188,0.9688084346731333,1.0003007971123483,0.9974077417005406,1.000300797112347,1.0002878322438988,1.000300797112347,6,6,6,6,6,1,6,1,0,6,0,6,0,1,0,1
q_20_0_75_4,20,75,0,0.12561981286945223,0.13364829588328855,0.3080753748314142,0.24278212659421042,0.38183321257983766,0.3361031194598082,0.4217487571016847,0.4201001746413936,7,7,7,7,7,7,7,7,0,7,0,7,0,7,0,7
q_20_0_75_5,20,75,0,0.21747901621936305,0.25241872562919626,0.3065924774424728,0.5090963675883583,0.5406465787500812,0.5700245010255124,0.5616355042528721,0.5945974397792767,6,6,6,6,6,6,6,6,0,6,0,6,0,6,0,6
q_20_10_100_1,20,100,10,0.39991654621638006,0.3966550026849424,0.5530346931194307,0.7352625290533513,0.7292855934137669,0.7617831251461837,0.7730845484035536,0.8129516125494722,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,57
q_20_10_100_2,20,100,10,0.36494629814407553,0.36809794066172974,0.4473896607890727,0.6961544949616766,0.6256476272292807,0.7635994193577148,0.708010661748554,0.7912276685690834,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,27
q_20_10_100_3,20,100,10,0.2658931723428811,0.3165309003278014,0.3963016079773635,0.5638753750977102,0.5939416728592396,0.712407024016518,0.7089381858567159,0.7684053348120766,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,57
q_20_10_100_4,20,100,10,0.6152737956733935,0.6047476190833683,0.6912260549218702,0.6809049093140361,0.7141587862163443,0.7395633473216656,0.7481441062522538,0.7897945030473658,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,57
q_20_10_100_5,20,100,10,0.23994997505995763,0.24793522930397027,0.4490083096538048,0.5719422224918318,0.7506590849462718,0.7947397153456784,0.8437164843617009,0.8801170145309086,57,57,57,57,57,57,57,57,0,57,0,57,0,57,0,57
q_20_10_25_1,20,25,10,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
q_20_10_25_2,20,25,10,0.02219630175992381,0.02620587327181065,0.02861945279771991,0.028493676841962887,0.03670294316249825,0.03672745771794871,0.0379995402282231,0.03810411618400854,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1
q_20_10_25_3,20,25,10,0.0,3.781494070037784e-15,0.0,3.781494070037784e-15,1.890747035018892e-15,3.781494070037784e-15,1.890747035018892e-15,3.781494070037784e-15,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
q_20_10_25_4,20,25,10,0.1280140195262498,0.13511950400618555,0.26312655108871663,0.26312655108871663,0.2745183852831421,0.28489915904461915,0.3042618061592183,0.29687569564064176,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1
q_20_10_25_5,20,25,10,0.24383092870569564,0.24383092870569564,0.345768982097763,0.345768982097763,0.39463216565448284,0.39463216565448284,0.39689413775090726,0.39689413775090726,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1
q_20_10_50_1,20,50,10,0.8932337235325469,0.9887252318065839,1.0011578283893945,1.0012332803622568,1.0013914009768101,1.0013913965260266,1.0013914009768594,1.0013913965260266,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_10_50_2,20,50,10,0.255377231313609,0.40048215344390314,0.5841423417110316,0.7117271806088726,0.711955714523367,0.7994664399538356,0.8017640500865211,0.8715132251701155,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_10_50_3,20,50,10,0.37447206299537517,0.3694755253558169,0.4018831072181115,0.4068461312955505,0.4068502265896501,0.40706443081267735,0.4070776509091409,0.4070712931786062,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_10_50_4,20,50,10,0.10231552157014076,0.2922794912812385,0.22930022032060943,0.5348715944702942,0.3741577759912799,0.6511258953990731,0.5585859416381591,0.729186301994988,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_10_50_5,20,50,10,0.061265130849603874,0.08860576758683075,0.10136576209301186,0.1034039330982523,0.10362685333023636,0.10363148585787625,0.1036315322532874,0.10363148585787053,8,8,8,8,8,8,8,8,0,8,0,8,0,8,0,8
q_20_10_75_1,20,75,10,1,1,1,1,1,1,1,1,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0
