M+S^E_3 with selection size 0.1 comparison in terms of gap closed - total times at cut rounds - separation times at cut rounds and nb of sdp cuts added at cut rounds between opt - feas - comb - dense - rand
,,,,gap_closed_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,time_cut_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,sep_time_cut_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,nb_sdp_cuts_at_round_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
filename,size,density,nb_subproblems,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand,r1_opt,r1_feas,r1_comb,r1_dense,r1_rand,r2_opt,r2_feas,r2_comb,r2_dense,r2_rand,r3_opt,r3_feas,r3_comb,r3_dense,r3_rand,r4_opt,r4_feas,r4_comb,r4_dense,r4_rand
spar030-080-1,30,80,2003,0.3417019591048076,0.22596830787255953,0.3417019591048076,0.12413208460828207,0.2894560559485693,0.6932830280340035,0.5465402430642113,0.6932830280340035,0.47059447856916764,0.4781158215809597,0.7709347749643113,0.6696820923919522,0.7712881121968391,0.6050898995976909,0.5838850651164315,0.7921006403151052,0.7647072752138419,0.7947656110162522,0.6773229061428517,0.645192236647868,0.0572442669999873,0.06650009600002704,0.06280197399996723,0.020747134999965056,0.02670331920003264,0.0849017980001463,0.08265637699992112,0.08970537899995179,0.04924831600010293,0.03277104779999718,0.08618251300003976,0.09224333299994214,0.13025142099991172,0.0642711859998144,0.03826588040005845,0.09360683800014158,0.1316020369999933,0.1318624959999397,0.07740410600013092,0.041865167600008135,0.043208715999980996,0.05877260300007947,0.04862403299989637,0.0062483809999775985,0.014833685400026298,0.04429989900017972,0.06216578799990202,0.04956921500001954,0.0053795040000750305,0.014408092200028477,0.043866446000038195,0.06029470199996467,0.0870554099999481,0.0058938289998877735,0.013933215200086124,0.043308150000029855,0.05970281000008981,0.08669697200002702,0.005269422000083068,0.013054147599996213,200,200,200,13,175.0,200,200,200,14,147.6,190,200,200,15,160.0,181,200,200,13,116.6
spar030-080-2,30,80,1780,0.6367126719740617,0.31318477713746257,0.6367126719740617,0.10286812988005206,0.4713242901063773,0.8477704897813538,0.7748610946280009,0.8477704897813538,0.6346935861419788,0.7264346645601671,0.9492619795308854,0.903543038226732,0.9492619795308854,0.780562272366537,0.8221037885756036,0.977266908217347,0.9681808468034339,0.9803693765017661,0.846541245011953,0.8701644999949106,0.05263473799982421,0.061608823000142365,0.057337911999866265,0.017058343999906356,0.023311013000056845,0.054732204999936584,0.07303251600001204,0.05906197600006635,0.0523611050002728,0.02366244380000353,0.06194828399998187,0.08086094100008268,0.06576743600021473,0.03445996600021317,0.023488438599952133,0.06398147699997025,0.08475325199992767,0.10425834500006204,0.04142639000019699,0.023023332600087088,0.0392735839998295,0.053039020000142045,0.043833833999997296,0.005793304999997417,0.012423195400015175,0.03869207499997174,0.05324686499989184,0.042884191999974064,0.005337036000128137,0.011478089999945951,0.039115236000043296,0.053729278999981034,0.04299162900019837,0.005516996000096697,0.01040623140002026,0.03946759399991606,0.055175859999962995,0.0764284790000147,0.005786107000176344,0.009669289400062554,178,178,178,14,142.4,178,178,178,14,119.4,178,178,178,13,96.6,153,178,178,14,77.4
spar030-080-3,30,80,2083,0.5763826664692113,0.3401885974332206,0.5763826664692113,0.25979291344194383,0.5253032892345182,0.848553990238988,0.7870407666918873,0.848553990238988,0.7452635853675629,0.7546437658357654,0.9716994001775745,0.9204461652113745,0.971784802070706,0.8431143251961232,0.8732835284889012,0.9882594553088896,0.9792957560633408,0.9902053459625915,0.8918698167018652,0.9196842804388395,0.06138025499990363,0.07165800299981129,0.066355632000068,0.029610737999973935,0.026560079999899244,0.06950891099995715,0.08310971400010203,0.07311208099986288,0.046785161999878255,0.027084448799951134,0.08104475599998295,0.0941595900003449,0.08594590600000629,0.045736068999985946,0.03120126860003438,0.07209469199983687,0.10105796000016198,0.1247659449998082,0.05620644700002231,0.027895682400048825,0.04593078399989281,0.06377464299998792,0.05061719700006506,0.00622965499997008,0.01395674139989751,0.04631180499995935,0.0618371880000268,0.05030741399991712,0.005951573999936954,0.012876528400011012,0.046393212000111816,0.06130119500016917,0.05095422899989899,0.00604860499993265,0.01234139280004456,0.0441297529998792,0.06448289600007229,0.09255177199997888,0.005264291000003141,0.01095409220010879,208,208,208,15,179.0,208,208,208,15,145.2,204,208,208,14,118.2,177,208,208,13,93.0
spar030-090-1,30,90,2551,0.39832646361064983,0.2426896591689119,0.39832646361064983,0.26310844894238916,0.381582933589254,0.7779010205565148,0.6283201585299599,0.7779010205565148,0.690199485505677,0.6015395553328949,0.8585481436660845,0.791908343225666,0.8568539382171796,0.8059775841809645,0.7055562616544752,0.8762432057588476,0.8576990006317868,0.8762702706482823,0.8712657821780554,0.7657079151399186,0.0760360669999045,0.08654771199985589,0.07960479100006523,0.027226963000202886,0.03450417139997626,0.11407111600010467,0.11080818199980058,0.1242307999998502,0.05516828100007842,0.0428154713999902,0.11887830099999519,0.1437239109998245,0.17765932599991174,0.06850888200006011,0.048367832399981124,0.11294934599982298,0.15640550100010842,0.17100511900002857,0.06956505300013305,0.05091726519990516,0.05674463900004412,0.07607498399988799,0.06078177400013374,0.006059718000187786,0.017482781600028828,0.055751729000121486,0.0779467059999206,0.06426276799993502,0.005607810000128666,0.016632759999947667,0.055740993999961574,0.0765188569998827,0.11056942499999423,0.005258592000018325,0.01539551420000862,0.056015363999904366,0.07812723400002142,0.11189810699988811,0.004928149000079429,0.01425807679997888,255,255,255,15,232.2,255,255,255,15,198.0,251,255,255,13,166.0,216,255,255,12,130.8
spar030-090-2,30,90,2956,0.44388280468991986,0.2637115829953701,0.44388280468991986,0.31369289535484834,0.3764684702291314,0.7730835483696674,0.6252853711106546,0.7730835483696674,0.7323836187328056,0.6108141832879493,0.8372119746878742,0.7677211584504099,0.836018526951022,0.8562605737342353,0.7052225384122977,0.8572743263224509,0.8351463988541521,0.8619131858823667,0.880076913716306,0.7515053398634016,0.08623274100000344,0.1049383949998628,0.1143705840001985,0.030365166000137833,0.03840463080005065,0.12353323299976182,0.13120040400008293,0.13203149899982236,0.07915661600009116,0.048887119999926655,0.1389158160000079,0.15535159099999873,0.20171925800013923,0.07870382999999492,0.05381131039994216,0.13411811199989643,0.1946772809999402,0.2139986229999522,0.055859301000054984,0.051444532599953165,0.06301077400007671,0.0936430429999291,0.0908412240000871,0.00600325100003829,0.02043679300008989,0.06423590399981549,0.086755538000034,0.07155469299982542,0.005448436000051515,0.018942419599943604,0.06565687700003764,0.09060630399994807,0.12819032900006277,0.005254007000075944,0.017328946999987237,0.0653567029999067,0.09178592000012031,0.13003431600009208,0.00569650400007049,0.015237970799989852,295,295,295,15,275.4,295,295,295,14,228.8,282,295,295,13,184.2,242,295,295,14,125.6
spar030-090-3,30,90,2643,0.4433864810819725,0.35352437767868516,0.4433864810819725,0.3118851389857078,0.4107051066005844,0.7987078550422795,0.7081888679173793,0.7987078550422795,0.7645451707784923,0.6487532294101989,0.8909111012429058,0.8459925112160499,0.891602103328211,0.869525247856768,0.7509731220920485,0.9130233550749353,0.894867377888315,0.914131158283118,0.8935213395918924,0.8094019520027004,0.07798626299995703,0.09660268999982691,0.08537524500025029,0.03087718399979167,0.03526781879982081,0.10922578400004568,0.11935516100015775,0.13925287000006392,0.07301327899972421,0.0427560649998668,0.12294252299989239,0.1493181679998088,0.12922145299990007,0.06261344100016686,0.048893033599915724,0.11476726699993378,0.15249031000007562,0.18028558699984387,0.05056216399998448,0.04748076460000448,0.05592593400001533,0.07920710299981693,0.06335993300012888,0.006063012999902639,0.018007602399893585,0.05828590600003736,0.08015708400012045,0.08763095599988446,0.005584255999792731,0.01699975939991418,0.0595148469999458,0.08041546599997673,0.06632129700005862,0.005583465000199794,0.015850822399943353,0.058273981999946045,0.07933756900001754,0.11540548599987233,0.005297518999896056,0.014418348000072,264,264,264,15,228.0,264,264,264,14,200.8,257,264,264,14,160.6,210,264,264,13,120.4
spar030-100-1,30,100,3838,0.41371961505726196,0.3361436281635295,0.41371961505726196,0.5279255337491591,0.399906033878325,0.7595256063799536,0.6490058771760621,0.7595256063799536,0.746465024112098,0.615807549416372,0.8147109865575471,0.7838347678709798,0.8122379265044997,0.8400772039194987,0.6975235087151359,0.8226731077046245,0.8168331303926729,0.8272441408312562,0.8737388598531751,0.7325792607231619,0.1158622440000272,0.15018009000004895,0.12416393200010134,0.043759538999893266,0.057173888999977864,0.17838206499982334,0.18201456499991764,0.1866981969999415,0.06348091900008512,0.07671913059998588,0.19738373800009867,0.24821604399994612,0.2802496119998068,0.07312996800010296,0.07921838759998537,0.16477349399974628,0.24017710400016767,0.23607177099984256,0.07110023699988233,0.07223338559997501,0.08409189000008155,0.12487446999989515,0.09220092000009572,0.006009664999965025,0.02811108900000363,0.0843717079999351,0.11659622299998773,0.09329667699989841,0.005224382000051264,0.03123257199999898,0.0847887790000641,0.11589423399982479,0.16856720799978575,0.005570684000076653,0.02235771499999828,0.08181798499981596,0.11468294600012996,0.11461274699991009,0.005396286999939548,0.020087571199974265,383,383,383,15,371.8,383,383,383,13,302.4,352,383,383,14,217.8,257,383,383,13,148.6
spar030-100-2,30,100,3923,0.2858509199210446,0.21320082662632178,0.2858509199210446,0.5308178628370321,0.35244470666680655,0.710619005540819,0.5748713820723839,0.710619005540819,0.7282913032550038,0.5714425084806494,0.7805775857580753,0.7463506594452755,0.7775299027494006,0.8140835835947754,0.6576401948582601,0.7977993973566233,0.78762015792636,0.7967929561799693,0.8580603549861723,0.7031770226187745,0.10810323400005473,0.12995467800010374,0.14328980300001604,0.037466067000195835,0.05084522859997378,0.18576046600014706,0.19339052599980278,0.1941142509999736,0.061567668000179765,0.07206937140003902,0.2138683990001482,0.2772642090001227,0.3093202709999332,0.07010405200026071,0.08335642360002567,0.20306861699987167,0.27671412399990913,0.3076473389999137,0.08547653200002969,0.08639720540004418,0.08550516199989033,0.1158070989999942,0.12097498000002815,0.005639648000169473,0.026774817599971357,0.08697275100007573,0.12716577299988785,0.09759156900008747,0.005769299000121464,0.025537745400060884,0.08784095000009984,0.12246124500006772,0.1715027339998869,0.0052179280000927974,0.023702951799987205,0.08510218099991107,0.11665963299992654,0.1722418550000384,0.004918223999993643,0.02081520360002287,392,392,392,14,333.6,392,392,392,14,303.0,385,392,392,13,234.4,309,392,392,12,164.4
spar030-100-3,30,100,3865,0.4544060226552316,0.3804050979462849,0.4544060226552316,0.6530522768548426,0.44382621957205404,0.7760676664121938,0.7155697973452365,0.7760676664121938,0.849038502470745,0.6517012049907885,0.8367299317033988,0.8165183029674852,0.8369230081702964,0.8889728454277374,0.7305159102132324,0.8484271658399958,0.847702457280567,0.8542956645937888,0.9094918048643739,0.7734481844111052,0.1390089750000243,0.15358872199999496,0.14963890500030175,0.04654077300006065,0.055990583799984964,0.16810271199983617,0.1951628649999293,0.17707947399981094,0.06735881200006588,0.06769699060014318,0.18077705199993943,0.2326257589998022,0.2611384120000366,0.06177948500021557,0.0686611008001364,0.16318456700014394,0.23791125900015686,0.2760894040000039,0.06219688900023357,0.07122058720001405,0.10382391400003144,0.11963418799996361,0.11450335300014558,0.005914588999985426,0.027761683200014885,0.08499709799980337,0.11949993899997935,0.09370350699987284,0.0055135810000592755,0.02576710080011253,0.08357819299999392,0.11619616899997709,0.16781235799999195,0.0056140980000236596,0.021649000600018554,0.08208859199999097,0.11424562699994567,0.17104754100000719,0.005269951000173023,0.019588762799958203,386,386,386,15,373.4,386,386,386,14,300.2,364,386,386,14,193.8,280,386,386,13,144.0
spar040-030-1,40,30,243,0.5171968938945032,0.370255778143979,0.5171968938945032,-0.0,0.2989728498664224,0.8447242931091896,0.6223805555384042,0.8447242931091896,-0.0,0.4686901673233152,0.9437085647379473,0.8338694404445497,0.9481064222703619,-0.0,0.6175434532964622,0.9762275694307722,0.9495866674239841,0.981382623969621,-0.0,0.7285744941998135,0.009695024999928137,0.0097230070000478,0.009886012000151823,0.020017307999978584,0.003895907200012516,0.00914051799986737,0.009125953000193476,0.009116653000091901,0.039604716999747325,0.003261083199959103,0.008802192000075593,0.009923793000098158,0.009435629000108747,0.06526473700000679,0.0035554780000893516,0.00755429500009086,0.010843553999848154,0.0095647690000078,0.0936703300001227,0.003800917800026582,0.005881580000050235,0.007267715999887514,0.006301910000047428,0.013202285000033953,0.001772253399985857,0.005944465999846216,0.007292010000128357,0.006058442000039577,0.012013635999892358,0.0016053525999723205,0.005559521000122913,0.007222794000199428,0.0061461560001134785,0.011491992999935974,0.0016741796000587783,0.00521115100013958,0.00737129999993158,0.006443396999884499,0.012551900000062233,0.0016635888000564591,24,24,24,14,17.6,24,24,24,19,13.8,22,24,24,18,15.6,16,24,24,19,15.6
