spar040-030-1,,,,,,,,,,,,,,,
size,density,max_cuts_sel,,,,,,,,,,,,,
40,30,12,,,,,,,,,,,,,
Bounds:,,,,,,,,,,,,,,,
opt_nn,feas,comb,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,dense,opt_exact,M+S_3 
0.978945569,0.969436775,0.991687982,0.806669587,0.783795118,0.725502814,0.842903951,0.826454666,0.765758033,0.795575325,0.853244261,0.825371275,0.864056529,0.994275457,0.285124245,0.999999661
0.980747109,0.974022015,0.99650129,0.854881699,0.80239042,0.752991268,0.87006111,0.873070917,0.792319848,0.82731324,0.868087989,0.832572984,0.874906554,0.995478689,0.31171351,0.999999661
0.981393872,0.989828783,0.998679572,0.87480002,0.816974861,0.793942365,0.888565778,0.894768112,0.807561721,0.853457671,0.878869647,0.83583315,0.893019086,0.995558629,0.337479776,0.999999661
0.981868594,0.99508547,0.999298931,0.88419513,0.845778573,0.834168803,0.899731636,0.903109859,0.828003348,0.861390411,0.897577444,0.838707158,0.901624436,0.995558629,0.36707366,0.999999661
0.981999861,0.997013684,0.999603456,0.899069778,0.852782824,0.876651489,0.906470641,0.915167361,0.845402385,0.865311884,0.911188742,0.855463851,0.909158786,0.995558629,0.392640895,0.999999661
0.982566318,0.998995334,0.999761689,0.902671652,0.860277694,0.87998158,0.918433969,0.920241858,0.855502724,0.886593302,0.91979122,0.892402473,0.916604746,0.995558629,0.410644967,0.999999661
0.984779024,0.999563212,0.999883962,0.907526492,0.879708196,0.885665552,0.920966105,0.922317786,0.870496319,0.898484861,0.933003076,0.897073089,0.928060857,0.995558629,0.432716583,0.999999661
0.984970205,0.999809911,0.99998346,0.914316406,0.909614398,0.888976963,0.937815149,0.923530039,0.890200851,0.902140276,0.933675426,0.900799966,0.939873237,0.995558629,0.457258062,0.999999661
0.985009674,0.999927805,0.999997174,0.917470208,0.913853556,0.90300834,0.942538307,0.935227938,0.906180043,0.912632715,0.936881873,0.901733149,0.947201441,0.995558629,0.481602308,0.999999661
0.985022091,0.999977518,0.999999169,0.922737104,0.923339579,0.923175691,0.947634625,0.940772804,0.910712131,0.929798869,0.955843094,0.908832663,0.95089767,0.995558629,0.501063514,0.999999661
0.985028025,0.999996512,0.999999522,0.928405431,0.928288975,0.925928485,0.953892854,0.947747388,0.935059884,0.936171581,0.968341823,0.928277875,0.953718777,0.995558629,0.527371725,0.999999661
Times (cumulative):,,,,,,,,,,,,,,,
opt_nn,feas,comb,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,dense,opt_exact,M+S_3 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006684135,0.008288089,0.00726876,0.002599739,0.002390517,0.002083863,0.003034211,0.002285587,0.001980784,0.002122106,0.002784554,0.00245482,0.002507392,0.969612547,0.017326531,0
0.013187554,0.016340623,0.014018671,0.004544612,0.004480973,0.004165082,0.005919402,0.004294959,0.003977045,0.004576732,0.004846064,0.004850479,0.004459113,1.926189103,0.053774775,0
