spar040-030-1,,,,,,,,,,,,,
size,density,max_cuts_sel,,,,,,,,,,,
40,30,12,,,,,,,,,,,
opt_nn,feas,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,opt_exact,M+S_3 
0.985022091,0.99995052,0.922737104,0.923339579,0.923175691,0.947634625,0.940772804,0.91071213,0.929798877,0.955843094,0.908832663,0.95089767,0.995558626,0.999999551
0.985027992,0.999987449,0.928405431,0.928288975,0.925928485,0.953892854,0.947747388,0.935059882,0.936171592,0.968341823,0.928277875,0.953718777,0.995558626,0.999999551
spar040-100-1,,,,,,,,,,,,,
size,density,max_cuts_sel,,,,,,,,,,,
40,100,469,,,,,,,,,,,
opt_nn,feas,rand 0,rand 1,rand 2,rand 3,rand 4,rand 5,rand 6,rand 7,rand 8,rand 9,opt_exact,M+S_3 
0,0,0,0,0,0,0,0,0,0,0,0,0,0.83654067
0.312663449,0.227504436,0.266179129,0.284668814,0.28990027,0.272931092,0.310947959,0.301326904,0.305885958,0.281056684,0.314239631,0.306221172,0.327150334,0.83654067
0.723409066,0.44066789,0.522119825,0.5030239,0.542660077,0.507934044,0.516575284,0.534201753,0.509243505,0.494685068,0.529760649,0.523253632,0.716963246,0.83654067
0.793211195,0.666439185,0.621661732,0.607233831,0.636725377,0.624770372,0.618961446,0.631946246,0.62523153,0.61700997,0.624590567,0.627295208,0.793488661,0.83654067
0.812981604,0.776451537,0.683663496,0.670831267,0.683890285,0.666362827,0.679324941,0.686193323,0.68284298,0.679554714,0.689832933,0.692019221,0.809872146,0.83654067
0.817412977,0.810210482,0.724774673,0.712294007,0.721058204,0.714556307,0.719081819,0.71914468,0.727015525,0.719069583,0.716962418,0.725265189,0.815491234,0.83654067
0.818919951,0.824746078,0.750771157,0.739828532,0.748745283,0.745632423,0.742907115,0.746124121,0.751238097,0.746282161,0.742015546,0.753747269,0.8173467,0.83654067
0.819642169,0.830682493,0.768650608,0.759913437,0.764083108,0.764706536,0.76101613,0.768200734,0.768723542,0.766328285,0.764331735,0.77078896,0.817777423,0.83654067
0.81983784,0.833924191,0.778586322,0.776006205,0.779324214,0.776925987,0.776660384,0.782371291,0.781176205,0.781478108,0.779229341,0.781285233,0.817921598,0.83654067
0.819877679,0.835365068,0.78617724,0.785602521,0.788952447,0.789188438,0.785820256,0.790750543,0.790678584,0.792508065,0.789421708,0.787559727,0.817974385,0.83654067
0.819904132,0.836071181,0.795495495,0.794441798,0.79557296,0.794754759,0.796771997,0.800600921,0.798564952,0.798940451,0.80069995,0.795952092,0.818124238,0.83654067
0.819907824,0.836374407,0.800938092,0.801542821,0.802578277,0.800428893,0.804486743,0.804892998,0.804685188,0.804321334,0.805480887,0.801195873,0.818141729,0.83654067
0.819935326,0.836468379,0.806084786,0.807341266,0.807539716,0.805220901,0.809338593,0.80878841,0.808301071,0.808089116,0.809778488,0.807577893,0.818146676,0.83654067
0.819937653,0.836512185,0.810533377,0.81220608,0.811092657,0.808957343,0.813525477,0.812559663,0.812907182,0.811430199,0.812904637,0.810951736,0.818148101,0.83654067
0.819938736,0.836531047,0.812832782,0.816261668,0.814876697,0.811536415,0.816505729,0.814465003,0.816278423,0.814704629,0.817268497,0.814964614,0.818148417,0.83654067
0.819938919,0.836537644,0.815635644,0.81840939,0.817891517,0.814323475,0.819425713,0.816898796,0.818830206,0.817946932,0.819230501,0.81786974,0.818148435,0.83654067
0.819938945,0.836539746,0.81764792,0.820852788,0.820994784,0.816914409,0.82188853,0.818582976,0.82128662,0.820200997,0.820709932,0.820059717,0.818148456,0.83654067
0.819938956,0.836540561,0.819261976,0.822571269,0.822311616,0.819043593,0.823161436,0.820627362,0.82305077,0.82242789,0.822277087,0.822042009,0.81814846,0.83654067
0.819938957,0.836540669,0.820810288,0.824118884,0.823760386,0.821299789,0.824339778,0.822953831,0.824414789,0.823683484,0.82407487,0.823276651,0.818148461,0.83654067
0.819938957,0.83654067,0.82224367,0.82556044,0.825123498,0.823518251,0.825675947,0.82446912,0.82523938,0.82535352,0.825653049,0.824888175,0.818148465,0.83654067
0.819938957,0.83654067,0.823354306,0.826917842,0.82600711,0.824573112,0.826614407,0.826042237,0.826910345,0.826267681,0.826896694,0.825647039,0.818148478,0.83654067
spar100-025-1,,,,,,,,,,,,,
