powerflow0009r_preprocessed
Percent of gap to optimality from M2 closed
feas,comb2,rand 0,rand 1,rand 2,rand 3,rand 4
0.9627313816224241,0.9664422027973892,0.25066133774617805,0.4010579371006325,0.45165861574443705,0.4282074008795721,0.39066257461512854
0.9641985202558045,0.9688994827093469,0.28018530579675005,0.401060759917419,0.4541145364759924,0.42927072854082765,0.39473390953421666
0.9657660441850737,0.9697731794929838,0.35760811856648717,0.40323558116238634,0.46125745642231514,0.46704824172137754,0.6567607317205473
0.966744712612614,0.9708546048650017,0.48610215260347295,0.41290361102675865,0.4633704087436499,0.4968264792916187,0.6567607061456645
0.9686149288237998,0.9717023352890141,0.498182860474307,0.4353208474669805,0.4680618425245395,0.49724763970614905,0.6701570349561778
0.969564802431134,0.9727432019498835,0.5364702360221977,0.4400097022742778,0.47765407750045735,0.49724766487047123,0.6767497097723575
Number of cuts selected by optimality at each cut round
feas,comb2,rand 0,rand 1,rand 2,rand 3,rand 4
0,0,0,0,0,0,0
0,5,0,0,0,0,0
0,5,0,0,0,0,0
0,5,0,0,0,0,0
0,4,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,4,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,3,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
